"FEATURECLASS","FEATUREID","minX","maxX","minY","maxY"
"MANAGEMENT AREA","SILVER HAKE BOX 1977 EXT.",-60,-59,39,43.9
"MANAGEMENT AREA","SILVER HAKE BOX 1994",-65.5,-60,39,43.58
"MANAGEMENT AREA","SILVER HAKE BOX EMERALD BASIN",-63.466667,-61.95,43.35,44.566667
"MANAGEMENT AREA","SILVER HAKE BOX LAHAVE BASIN",-64.383333,-63.283333,43.216667,44.1
"MANAGEMENT AREA","SLOPE_1",-62.166667,-62.166667,44.166667,44.166667
"MANAGEMENT AREA","SMALL_REDFISH_1995",-66.5333,-64.5,43,43.33
"MANAGEMENT AREA","SMALL_REDFISH_1998",-65.666,-64.666,42.666,43.333
"MANAGEMENT AREA","SMALL_REDFISH_2003",-65.666,-64.4667,42.666,43.45
"MANAGEMENT AREA","SMG2",-67.566667,-67,42.8,43.016667
"MANAGEMENT AREA","SMGBYCATCHAREA1",-67.15,-67,42.8,43.016667
"MANAGEMENT AREA","SMGBYCATCHAREA1A",-67.15,-67,42.8,43.016667
"MANAGEMENT AREA","SMGBYCATCHAREA2",-67.566667,-67,42.8,43.016667
"MANAGEMENT AREA","SPA 1",-66.833333,-64.416667,44.233333,45.766667
"MANAGEMENT AREA","SPA 2",-67.466667,-66.783333,43.666667,44.3
"MANAGEMENT AREA","SPA 3",-66.783333,-65.766667,43.666667,44.56666667
"MANAGEMENT AREA","SPA 4",-66.183333,-65.533333,44.5,44.95
"MANAGEMENT AREA","SPA 5",-65.783333,-65.4,44.6,44.766667
"MANAGEMENT AREA","SPA 6A",-67.3,-66.5,44.3,45.016667
"MANAGEMENT AREA","SPA 6B",-67.05,-66.65,44.466667,44.833333
"MANAGEMENT AREA","SPA 6C",-67.3,-65.9,44.9,45.4
"MANAGEMENT AREA","SPA 7",-66.4,-65.95,44.083333,44.566667
"MANAGEMENT AREA","STONE FENCE CLOSURE",-57.208333,-57.15,44.458333,44.491667
"MANAGEMENT AREA","STONE FENCE CORAL SAMPLE 2002",-57.133333,-57.133333,44.483333,44.483333
"MANAGEMENT AREA","TYCOM CABLE 1 NM",-66.6209,-65.6373,42.8124,42.9426
"MANAGEMENT AREA","VARORDER",-66.736667,-66.666667,44.623333,44.71
"MANAGEMENT AREA","WBOTEXP",-61.6999,-61.6758,43.732,43.75
"MANAGEMENT AREA","WESTERN BANK POLY_BOX",-61.762066,-61.604947,43.62209,43.79403
"SNOW CRAB FISHING AREAS","EASTERN HOLE",-60.106111,-58,44.583333,45
"SNOW CRAB FISHING AREAS","LOUISBOURG HOLE",-59.166667,-58.416667,45.466667,46
"SNOW CRAB FISHING AREAS","NENS SOFT CLOSE LINE 1",-60.4,-59,47,47
"SNOW CRAB FISHING AREAS","NENS SOFT CLOSE LINE 2",-60.31,-58.82,46.85,46.85
"SNOW CRAB FISHING AREAS","NENS SOFT CLOSE LINE 3",-60.34,-58.696667,46.733333,46.733333
"SNOW CRAB FISHING AREAS","NENS SOFT CLOSE LINE 4",-60.35,-58.57,46.616667,46.616667
"SNOW CRAB FISHING AREAS","NENS SOFT CLOSE LINE 5",-60.15,-60.15,46.25,46.616667
"SNOW CRAB FISHING AREAS","NENS SOFT CLOSE LINE 6",-59.866667,-59.866667,46,46.616667
"SNOW CRAB FISHING AREAS","NW SABLE BOX",-60.533333,-59.833333,44.166667,44.35
